"input_data.Gene","input_data.Study","input_data.N","input_data.Coef","input_data.SE","input_data.Pval","input_data.Cancer_type","input_data.Treatment","meta_output.studlab","meta_output.TE","meta_output.seTE","meta_output.statistic","meta_output.pval","meta_output.df","meta_output.lower","meta_output.upper","meta_output.w.common","meta_output.w.random","meta_output.zval","meta_output.w.fixed","meta_summery.Gene","meta_summery.Coef","meta_summery.SE","meta_summery.CI_lower","meta_summery.CI_upper","meta_summery.Pval","meta_summery.I2","meta_summery.Q_Pval"
"CXCL9","ICB_small_Nathanson",24,-0.594253846133706,0.250434427523647,0.0176494244121237,"Melanoma","CTLA4","ICB_small_Nathanson",-0.594253846133706,0.250434427523647,-2.37289198617708,0.0176494244121234,NA,-1.08509630456896,-0.103411387698452,15.9445378844229,14.5550189540273,-2.37289198617708,15.9445378844229,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Miao",33,-0.572890623480605,0.324827831361592,0.0777867653991994,"Kidney","PD-1/PD-L1","ICB_small_Miao",-0.572890623480605,0.324827831361592,-1.76367468599966,0.0777867653991995,NA,-1.20954147412558,0.0637602271643654,9.47749436035441,8.96856639250462,-1.76367468599966,9.47749436035441,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.57029529619687,0.263078648348896,0.0301758158500355,"Melanoma","CTLA4","ICB_small_Nathanson",-0.57029529619687,0.263078648348896,-2.16777492121117,0.0301758158500353,NA,-1.08591997206218,-0.0546706203315562,14.4487007455666,13.2982621529125,-2.16777492121117,14.4487007455666,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.564504708303698,0.255748787239605,0.0272957253357595,"Melanoma","CTLA4","ICB_small_Nathanson",-0.564504708303698,0.255748787239605,-2.2072625031642,0.0272957253357591,NA,-1.06576312038312,-0.0632462962242755,15.288780095263,14.0066100465312,-2.2072625031642,15.288780095263,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.540468070263192,0.233246837591582,0.0204955246402868,"Melanoma","CTLA4","ICB_small_Nathanson",-0.540468070263192,0.233246837591582,-2.31715068827453,0.0204955246402866,NA,-0.997623471450556,-0.0833126690758282,18.380971919804,16.5586195521561,-2.31715068827453,18.380971919804,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.540084038039966,0.25527466847794,0.0343705232989892,"Melanoma","CTLA4","ICB_small_Nathanson",-0.540084038039966,0.25527466847794,-2.11569773554182,0.0343705232989891,NA,-1.04041319442213,-0.0397548816578015,15.3456241917918,14.0543047750254,-2.11569773554182,15.3456241917918,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Van_Allen",42,-0.513765410328385,0.199955538086284,0.0101875303347096,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.513765410328385,0.199955538086284,-2.56939825345916,0.0101875303347094,NA,-0.905671063486829,-0.121859757169941,25.0111191861438,21.7534888469892,-2.56939825345916,25.0111191861438,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.480356640413069,0.236646812532634,0.0423721720423491,"Melanoma","CTLA4","ICB_small_Nathanson",-0.480356640413069,0.236646812532634,-2.02984623064309,0.0423721720423493,NA,-0.944175870033233,-0.0165374107929046,17.8565963554197,16.131859412172,-2.02984623064309,17.8565963554197,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Nathanson",24,-0.468870418540142,0.272233365064273,0.0850132630814074,"Melanoma","CTLA4","ICB_small_Nathanson",-0.468870418540142,0.272233365064273,-1.722310630181,0.0850132630814063,NA,-1.00243800945626,0.0646971723759775,13.4932726828954,12.4846399139657,-1.722310630181,13.4932726828954,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
"CXCL9","ICB_small_Van_Allen",42,-0.467206097637995,0.172524423310059,0.00676782494149893,"Melanoma","CTLA4","ICB_small_Van_Allen",-0.467206097637995,0.172524423310059,-2.70805772698244,0.00676782494149905,NA,-0.805347753779253,-0.129064441496737,33.5968709536586,27.9703872402241,-2.70805772698244,33.5968709536586,"CXCL9",-0.184510883847868,0.0348595155122397,-0.252834278770373,-0.116187488925363,1.20335961610144e-07,0.13103747320716,0.228173159786023
